headline,publication_date,news_source,sector,sentiment_label,market_impact
India forex reserves hit 4900 billion USD as RBI intervention stabilises rupee,2023-11-07 18:00:12.962592520,Economic Times,FMCG,Positive,Bullish
Finance Ministry reviews PLI scheme performance across 6 key sectors,2023-11-07 23:15:38.347669528,CNBC TV18,Auto,Neutral,Neutral
Monsoon deficit at 39.0% below normal; agri-loan stress feared in Tier-2/3 markets,2023-11-08 04:31:03.732746544,Mint,FMCG,Negative,Bearish
Pharma sector faces GST scrutiny; ₹1965 Cr ITC claims flagged by CBIC,2023-11-08 09:46:29.117823560,Reuters India,Pharma,Negative,Bearish
"UPI transaction volume crosses 3880 Cr in Jul, new all-time high",2023-11-08 15:01:54.502900576,CNBC TV18,FMCG,Positive,Bullish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2023-11-08 20:17:19.887977592,Financial Express,FMCG,Positive,Bullish
RBI monetary policy committee holds repo rate at 6.0%; next review in Oct,2023-11-09 01:32:45.273054608,Mint,Energy,Neutral,Neutral
NSE updates margin framework for equity derivatives from Jul onwards,2023-11-09 06:48:10.658131624,Business Standard,Infrastructure,Neutral,Neutral
"RBI keeps repo rate unchanged, signals accommodative stance for Q3 FY22",2023-11-09 12:03:36.043208640,Mint,BFSI,Positive,Bullish
Axis Bank board rejects merger proposal; institutional investors express concern,2023-11-09 17:19:01.428285656,MoneyControl,Telecom,Negative,Bearish
NSE updates margin framework for equity derivatives from Nov onwards,2023-11-09 22:34:26.813362672,Financial Express,Infrastructure,Neutral,Neutral
"Bank of Baroda Q1 net profit surges 25.2%, beats Bloomberg analyst estimates",2023-11-10 03:49:52.198439688,Reuters India,Pharma,Positive,Bullish
BFSI sector EBITDA margins expand QoQ amid easing input cost pressures,2023-11-10 09:05:17.583516704,Reuters India,BFSI,Positive,Bullish
NSE updates margin framework for equity derivatives from Mar onwards,2023-11-10 14:20:42.968593720,Economic Times,Pharma,Neutral,Neutral
Finance Ministry reviews PLI scheme performance across 14 key sectors,2023-11-10 19:36:08.353670728,Mint,FMCG,Neutral,Neutral
NSE updates margin framework for equity derivatives from Jul onwards,2023-11-11 00:51:33.738747744,Business Standard,Pharma,Neutral,Neutral
Pharma sector faces GST scrutiny; ₹2990 Cr ITC claims flagged by CBIC,2023-11-11 06:06:59.123824760,Mint,Pharma,Negative,Bearish
Credit card defaults surge 43.7% YoY; RBI flags retail lending risks,2023-11-11 11:22:24.508901776,Financial Express,Metals & Mining,Negative,Bearish
"Punjab National Bank Q4 net profit surges 9.2%, beats Bloomberg analyst estimates",2023-11-11 16:37:49.893978792,BloombergQuint,BFSI,Positive,Bullish
MSCI rebalancing: India's weight adjusted to 11.3%; 5 stocks added/removed,2023-11-11 21:53:15.279055808,CNBC TV18,FMCG,Neutral,Neutral
RBI releases draft guidelines on digital lending regulations for public comment,2023-11-12 03:08:40.664132824,Mint,Pharma,Neutral,Neutral
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2023-11-12 08:24:06.049209840,CNBC TV18,BFSI,Positive,Bullish
SBI board rejects merger proposal; institutional investors express concern,2023-11-12 13:39:31.434286856,Business Standard,Auto,Negative,Bearish
IndusInd Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-11-12 18:54:56.819363872,Financial Express,BFSI,Positive,Bullish
Sensex rallies 468 points as FIIs pump ₹1119 Cr into Indian equities,2023-11-13 00:10:22.204440888,Mint,Energy,Positive,Bullish
SEBI probes ITC for insider trading; shares locked in lower circuit,2023-11-13 05:25:47.589517904,MoneyControl,Pharma,Negative,Bearish
Auto sector FDI inflows at 1864 million USD in April-Aug FY23,2023-11-13 10:41:12.974594920,Financial Express,Auto,Neutral,Neutral
"Nifty 50 hits record 333 as broad-based rally lifts mid-cap, small-cap indices",2023-11-13 15:56:38.359671936,Reuters India,FMCG,Positive,Bullish
MSCI rebalancing: India's weight adjusted to 39.5%; 10 stocks added/removed,2023-11-13 21:12:03.744748944,Economic Times,Real Estate,Neutral,Neutral
Sensex rallies 810 points as FIIs pump ₹4126 Cr into Indian equities,2023-11-14 02:27:29.129825960,Financial Express,Energy,Positive,Bullish
"RBI keeps repo rate unchanged, signals accommodative stance for Q2 FY24",2023-11-14 07:42:54.514902976,BloombergQuint,Energy,Positive,Bullish
RBI monetary policy committee holds repo rate at 7.15%; next review in Nov,2023-11-14 12:58:19.899979992,Business Standard,Energy,Neutral,Neutral
NSE updates margin framework for equity derivatives from May onwards,2023-11-14 18:13:45.285057008,BloombergQuint,FMCG,Neutral,Neutral
"RBI keeps repo rate unchanged, signals accommodative stance for Q4 FY23",2023-11-14 23:29:10.670134024,Reuters India,Auto,Positive,Bullish
SEBI board meets to review derivative market norms for Q1 FY24,2023-11-15 04:44:36.055211040,Financial Express,IT Services,Neutral,Neutral
"Bank of Baroda Q4 net profit surges 14.3%, beats Bloomberg analyst estimates",2023-11-15 10:00:01.440288056,BloombergQuint,BFSI,Positive,Bullish
India current account deficit widens to 32.3% of GDP in Q1 FY24,2023-11-15 15:15:26.825365072,Reuters India,BFSI,Negative,Bearish
"India GDP growth accelerates to 39.5% in Q2, ahead of IMF projections",2023-11-15 20:30:52.210442088,MoneyControl,FMCG,Positive,Bullish
"RBI keeps repo rate unchanged, signals accommodative stance for Q3 FY24",2023-11-16 01:46:17.595519104,BloombergQuint,FMCG,Positive,Bullish
"India GDP growth accelerates to 10.5% in Q4, ahead of IMF projections",2023-11-16 07:01:42.980596120,Financial Express,Infrastructure,Positive,Bullish
IndusInd Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-11-16 12:17:08.365673136,BloombergQuint,Real Estate,Positive,Bullish
Finance Ministry reviews PLI scheme performance across 2 key sectors,2023-11-16 17:32:33.750750144,MoneyControl,Auto,Neutral,Neutral
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2023-11-16 22:47:59.135827160,Financial Express,BFSI,Positive,Bullish
RBI monetary policy committee holds repo rate at 7.1%; next review in Feb,2023-11-17 04:03:24.520904176,BloombergQuint,FMCG,Neutral,Neutral
Punjab National Bank announces rights issue at ₹360 per share; record date set,2023-11-17 09:18:49.905981192,Reuters India,IT Services,Neutral,Neutral
Monsoon deficit at 47.3% below normal; agri-loan stress feared in Tier-2/3 markets,2023-11-17 14:34:15.291058208,Business Standard,FMCG,Negative,Bearish
Pharma sector EBITDA margins expand QoQ amid easing input cost pressures,2023-11-17 19:49:40.676135224,Mint,Pharma,Positive,Bullish
RBI monetary policy committee holds repo rate at 6.69%; next review in May,2023-11-18 01:05:06.061212240,BloombergQuint,Infrastructure,Neutral,Neutral
SEBI board meets to review derivative market norms for Q2 FY24,2023-11-18 06:20:31.446289256,Financial Express,Real Estate,Neutral,Neutral
Monsoon deficit at 20.4% below normal; agri-loan stress feared in Tier-2/3 markets,2023-11-18 11:35:56.831366272,Mint,Metals & Mining,Negative,Bearish
FII outflows drag Sensex 777 points lower; rupee slips to 85.71 per USD,2023-11-18 16:51:22.216443288,Mint,Telecom,Negative,Bearish
India current account deficit widens to 33.2% of GDP in Q4 FY23,2023-11-18 22:06:47.601520304,MoneyControl,Telecom,Negative,Bearish
Credit card defaults surge 9.7% YoY; RBI flags retail lending risks,2023-11-19 03:22:12.986597320,Business Standard,Real Estate,Negative,Bearish
IDFC First Bank announces rights issue at ₹151 per share; record date set,2023-11-19 08:37:38.371674336,Financial Express,Metals & Mining,Neutral,Neutral
"India GDP growth accelerates to 19.5% in Q2, ahead of IMF projections",2023-11-19 13:53:03.756751344,Business Standard,BFSI,Positive,Bullish
Maruti Suzuki announces ₹3924 Cr CAPEX for pan-India digital infrastructure rollout,2023-11-19 19:08:29.141828360,Reuters India,BFSI,Positive,Bullish
FMCG sector FDI inflows at 3085 million USD in April-Dec FY23,2023-11-20 00:23:54.526905376,MoneyControl,FMCG,Neutral,Neutral
IT Services sector faces GST scrutiny; ₹1739 Cr ITC claims flagged by CBIC,2023-11-20 05:39:19.911982392,Financial Express,IT Services,Negative,Bearish
India forex reserves hit 2988 billion USD as RBI intervention stabilises rupee,2023-11-20 10:54:45.297059408,Reuters India,Infrastructure,Positive,Bullish
Monsoon deficit at 43.2% below normal; agri-loan stress feared in Tier-2/3 markets,2023-11-20 16:10:10.682136424,Reuters India,Infrastructure,Negative,Bearish
NCLAT hears Paytm insolvency appeal; next hearing scheduled for Jun,2023-11-20 21:25:36.067213440,Economic Times,BFSI,Neutral,Neutral
Bond yields spike 35bps after higher-than-expected US Fed rate guidance,2023-11-21 02:41:01.452290456,Financial Express,Infrastructure,Negative,Bearish
RBI hikes repo rate by 50 bps amid persistent services inflation concerns,2023-11-21 07:56:26.837367472,Mint,Telecom,Negative,Bearish
NSE updates margin framework for equity derivatives from Oct onwards,2023-11-21 13:11:52.222444488,Business Standard,BFSI,Neutral,Neutral
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2023-11-21 18:27:17.607521504,CNBC TV18,Infrastructure,Positive,Bullish
Sensex rallies 154 points as FIIs pump ₹290 Cr into Indian equities,2023-11-21 23:42:42.992598520,Economic Times,Auto,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2023-11-22 04:58:08.377675536,BloombergQuint,Telecom,Neutral,Neutral
Bank of Baroda upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-11-22 10:13:33.762752552,Financial Express,Telecom,Positive,Bullish
Rupee depreciates to historic low of ₹82.17 on trade deficit widening,2023-11-22 15:28:59.147829560,CNBC TV18,Telecom,Negative,Bearish
RBI monetary policy committee holds repo rate at 6.11%; next review in Nov,2023-11-22 20:44:24.532906576,CNBC TV18,Metals & Mining,Neutral,Neutral
HDFC Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-11-23 01:59:49.917983592,CNBC TV18,Pharma,Positive,Bullish
India WPI inflation prints at 25.9% for Mar; IIP data due next week,2023-11-23 07:15:15.303060608,Financial Express,Metals & Mining,Neutral,Neutral
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2023-11-23 12:30:40.688137624,Business Standard,Pharma,Positive,Bullish
India WPI inflation prints at 17.9% for Mar; IIP data due next week,2023-11-23 17:46:06.073214640,Economic Times,BFSI,Neutral,Neutral
Credit card defaults surge 16.3% YoY; RBI flags retail lending risks,2023-11-23 23:01:31.458291656,Financial Express,IT Services,Negative,Bearish
Yes Bank NPA ratio rises to 47.9% in Q2; provisions surge QoQ,2023-11-24 04:16:56.843368672,Business Standard,IT Services,Negative,Bearish
Auto sector faces GST scrutiny; ₹2112 Cr ITC claims flagged by CBIC,2023-11-24 09:32:22.228445688,CNBC TV18,Auto,Negative,Bearish
IT Services sector EBITDA margins expand QoQ amid easing input cost pressures,2023-11-24 14:47:47.613522704,BloombergQuint,IT Services,Positive,Bullish
SEBI board meets to review derivative market norms for Q2 FY24,2023-11-24 20:03:12.998599720,BloombergQuint,Auto,Neutral,Neutral
"Nifty 50 hits record 542 as broad-based rally lifts mid-cap, small-cap indices",2023-11-25 01:18:38.383676736,Economic Times,Real Estate,Positive,Bullish
MSCI rebalancing: India's weight adjusted to 34.3%; 14 stocks added/removed,2023-11-25 06:34:03.768753752,MoneyControl,Energy,Neutral,Neutral
Zomato profit warning: EBITDA margins to decline 28.5% on high input costs,2023-11-25 11:49:29.153830760,Mint,FMCG,Negative,Bearish
RBI hikes repo rate by 50 bps amid persistent energy inflation concerns,2023-11-25 17:04:54.538907776,CNBC TV18,FMCG,Negative,Bearish
Punjab National Bank announces rights issue at ₹316 per share; record date set,2023-11-25 22:20:19.923984792,BloombergQuint,Energy,Neutral,Neutral
FMCG sector FDI inflows at 1689 million USD in April-Sep FY22,2023-11-26 03:35:45.309061808,Mint,FMCG,Neutral,Neutral
Bond yields spike 25bps after higher-than-expected US Fed rate guidance,2023-11-26 08:51:10.694138824,CNBC TV18,Pharma,Negative,Bearish
Paytm announces ₹1014 Cr CAPEX for pan-India digital infrastructure rollout,2023-11-26 14:06:36.079215840,Economic Times,Energy,Positive,Bullish
HDFC Life profit warning: EBITDA margins to decline 15.2% on high input costs,2023-11-26 19:22:01.464292856,BloombergQuint,IT Services,Negative,Bearish
NCLAT hears Delhivery insolvency appeal; next hearing scheduled for Dec,2023-11-27 00:37:26.849369872,Economic Times,Telecom,Neutral,Neutral
Reliance Industries profit warning: EBITDA margins to decline 38.5% on high input costs,2023-11-27 05:52:52.234446888,Business Standard,Real Estate,Negative,Bearish
Sensex rallies 1156 points as FIIs pump ₹2726 Cr into Indian equities,2023-11-27 11:08:17.619523904,Business Standard,Pharma,Positive,Bullish
"RBI keeps repo rate unchanged, signals accommodative stance for Q1 FY23",2023-11-27 16:23:43.004600920,Business Standard,FMCG,Positive,Bullish
"UPI transaction volume crosses 4598 Cr in Mar, new all-time high",2023-11-27 21:39:08.389677936,Business Standard,Auto,Positive,Bullish
"Nifty 50 hits record 334 as broad-based rally lifts mid-cap, small-cap indices",2023-11-28 02:54:33.774754952,BloombergQuint,Auto,Positive,Bullish
GST collections cross ₹3547 Cr for Febth consecutive month,2023-11-28 08:09:59.159831968,CNBC TV18,BFSI,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2023-11-28 13:25:24.544908976,Financial Express,Infrastructure,Neutral,Neutral
"UPI transaction volume crosses 2871 Cr in Aug, new all-time high",2023-11-28 18:40:49.929985992,Reuters India,Pharma,Positive,Bullish
"Nifty 50 hits record 417 as broad-based rally lifts mid-cap, small-cap indices",2023-11-28 23:56:15.315063008,Business Standard,BFSI,Positive,Bullish
"RBI keeps repo rate unchanged, signals accommodative stance for Q4 FY24",2023-11-29 05:11:40.700140024,Financial Express,Real Estate,Positive,Bullish
India current account deficit widens to 10.8% of GDP in Q3 FY23,2023-11-29 10:27:06.085217040,Economic Times,Infrastructure,Negative,Bearish
"Nifty 50 hits record 1155 as broad-based rally lifts mid-cap, small-cap indices",2023-11-29 15:42:31.470294056,CNBC TV18,Auto,Positive,Bullish
Zomato profit warning: EBITDA margins to decline 20.8% on high input costs,2023-11-29 20:57:56.855371072,BloombergQuint,Auto,Negative,Bearish
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2023-11-30 02:13:22.240448088,Business Standard,Real Estate,Positive,Bullish
India WPI inflation prints at 22.7% for Nov; IIP data due next week,2023-11-30 07:28:47.625525104,CNBC TV18,Energy,Neutral,Neutral
India WPI inflation prints at 4.3% for Dec; IIP data due next week,2023-11-30 12:44:13.010602120,Reuters India,Infrastructure,Neutral,Neutral
SEBI board meets to review derivative market norms for Q1 FY24,2023-11-30 17:59:38.395679136,Mint,IT Services,Neutral,Neutral
RBI releases draft guidelines on digital lending regulations for public comment,2023-11-30 23:15:03.780756152,Reuters India,FMCG,Neutral,Neutral
NSE updates margin framework for equity derivatives from Oct onwards,2023-12-01 04:30:29.165833168,Financial Express,IT Services,Neutral,Neutral
Infosys profit warning: EBITDA margins to decline 16.5% on high input costs,2023-12-01 09:45:54.550910176,MoneyControl,Energy,Negative,Bearish
"Nifty 50 hits record 296 as broad-based rally lifts mid-cap, small-cap indices",2023-12-01 15:01:19.935987192,Mint,Energy,Positive,Bullish
FII outflows drag Sensex 288 points lower; rupee slips to 82.35 per USD,2023-12-01 20:16:45.321064208,Reuters India,Telecom,Negative,Bearish
Finance Ministry reviews PLI scheme performance across 2 key sectors,2023-12-02 01:32:10.706141224,CNBC TV18,Energy,Neutral,Neutral
IndusInd Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-12-02 06:47:36.091218240,Mint,BFSI,Positive,Bullish
"India GDP growth accelerates to 42.9% in Q3, ahead of IMF projections",2023-12-02 12:03:01.476295256,BloombergQuint,Real Estate,Positive,Bullish
Bond yields spike 25bps after higher-than-expected US Fed rate guidance,2023-12-02 17:18:26.861372272,Financial Express,Pharma,Negative,Bearish
SBI board rejects merger proposal; institutional investors express concern,2023-12-02 22:33:52.246449288,Economic Times,IT Services,Negative,Bearish
FII outflows drag Sensex 712 points lower; rupee slips to 84.8 per USD,2023-12-03 03:49:17.631526304,Business Standard,IT Services,Negative,Bearish
Bajaj Finance profit warning: EBITDA margins to decline 12.8% on high input costs,2023-12-03 09:04:43.016603320,Business Standard,Telecom,Negative,Bearish
Finance Ministry reviews PLI scheme performance across 13 key sectors,2023-12-03 14:20:08.401680336,Mint,IT Services,Neutral,Neutral
SEBI probes Infosys for insider trading; shares locked in lower circuit,2023-12-03 19:35:33.786757352,Financial Express,IT Services,Negative,Bearish
Rupee depreciates to historic low of ₹83.1 on trade deficit widening,2023-12-04 00:50:59.171834368,MoneyControl,FMCG,Negative,Bearish
NCLAT hears ONGC insolvency appeal; next hearing scheduled for May,2023-12-04 06:06:24.556911376,CNBC TV18,Pharma,Neutral,Neutral
"Nifty 50 hits record 708 as broad-based rally lifts mid-cap, small-cap indices",2023-12-04 11:21:49.941988392,Economic Times,Infrastructure,Positive,Bullish
Sensex rallies 700 points as FIIs pump ₹537 Cr into Indian equities,2023-12-04 16:37:15.327065408,Reuters India,BFSI,Positive,Bullish
Pharma sector FDI inflows at 2879 million USD in April-Sep FY24,2023-12-04 21:52:40.712142424,BloombergQuint,Pharma,Neutral,Neutral
ICICI Bank announces rights issue at ₹65 per share; record date set,2023-12-05 03:08:06.097219440,BloombergQuint,FMCG,Neutral,Neutral
Credit card defaults surge 42.9% YoY; RBI flags retail lending risks,2023-12-05 08:23:31.482296456,MoneyControl,Energy,Negative,Bearish
FII outflows drag Sensex 396 points lower; rupee slips to 84.52 per USD,2023-12-05 13:38:56.867373472,Business Standard,Telecom,Negative,Bearish
RBI hikes repo rate by 50 bps amid persistent services inflation concerns,2023-12-05 18:54:22.252450488,BloombergQuint,BFSI,Negative,Bearish
Kotak Mahindra board rejects merger proposal; institutional investors express concern,2023-12-06 00:09:47.637527504,Reuters India,Infrastructure,Negative,Bearish
Nykaa profit warning: EBITDA margins to decline 3.4% on high input costs,2023-12-06 05:25:13.022604520,MoneyControl,Pharma,Negative,Bearish
Kotak Mahindra upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-12-06 10:40:38.407681536,MoneyControl,IT Services,Positive,Bullish
"India GDP growth accelerates to 43.7% in Q2, ahead of IMF projections",2023-12-06 15:56:03.792758552,Financial Express,FMCG,Positive,Bullish
GST collections cross ₹472 Cr for Septh consecutive month,2023-12-06 21:11:29.177835568,Mint,FMCG,Positive,Bullish
Monsoon deficit at 24.1% below normal; agri-loan stress feared in Tier-2/3 markets,2023-12-07 02:26:54.562912584,BloombergQuint,IT Services,Negative,Bearish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2023-12-07 07:42:19.947989592,CNBC TV18,Infrastructure,Positive,Bullish
Credit card defaults surge 24.3% YoY; RBI flags retail lending risks,2023-12-07 12:57:45.333066608,MoneyControl,Metals & Mining,Negative,Bearish
"Kotak Mahindra Q3 net profit surges 44.6%, beats Bloomberg analyst estimates",2023-12-07 18:13:10.718143624,BloombergQuint,IT Services,Positive,Bullish
Bond yields spike 25bps after higher-than-expected US Fed rate guidance,2023-12-07 23:28:36.103220640,Mint,Telecom,Negative,Bearish
NCLAT hears Paytm insolvency appeal; next hearing scheduled for Mar,2023-12-08 04:44:01.488297656,Business Standard,Auto,Neutral,Neutral
India WPI inflation prints at 39.2% for Nov; IIP data due next week,2023-12-08 09:59:26.873374672,Mint,IT Services,Neutral,Neutral
SBI announces rights issue at ₹205 per share; record date set,2023-12-08 15:14:52.258451688,Business Standard,IT Services,Neutral,Neutral
Axis Bank NPA ratio rises to 43.8% in Q4; provisions surge QoQ,2023-12-08 20:30:17.643528704,Reuters India,Metals & Mining,Negative,Bearish
"India GDP growth accelerates to 33.2% in Q1, ahead of IMF projections",2023-12-09 01:45:43.028605720,Reuters India,Metals & Mining,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2023-12-09 07:01:08.413682736,CNBC TV18,Real Estate,Neutral,Neutral
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2023-12-09 12:16:33.798759752,Reuters India,IT Services,Positive,Bullish
"RBI keeps repo rate unchanged, signals accommodative stance for Q2 FY22",2023-12-09 17:31:59.183836768,Mint,BFSI,Positive,Bullish
RBI hikes repo rate by 25 bps amid persistent energy inflation concerns,2023-12-09 22:47:24.568913784,BloombergQuint,Pharma,Negative,Bearish
RBI releases draft guidelines on digital lending regulations for public comment,2023-12-10 04:02:49.953990792,Mint,Telecom,Neutral,Neutral
Rupee depreciates to historic low of ₹86.5 on trade deficit widening,2023-12-10 09:18:15.339067808,Business Standard,Telecom,Negative,Bearish
India forex reserves hit 1247 billion USD as RBI intervention stabilises rupee,2023-12-10 14:33:40.724144824,BloombergQuint,Metals & Mining,Positive,Bullish
"Nifty 50 hits record 631 as broad-based rally lifts mid-cap, small-cap indices",2023-12-10 19:49:06.109221840,MoneyControl,Real Estate,Positive,Bullish
NCLAT hears Maruti Suzuki insolvency appeal; next hearing scheduled for Apr,2023-12-11 01:04:31.494298856,Reuters India,Infrastructure,Neutral,Neutral
ONGC profit warning: EBITDA margins to decline 39.3% on high input costs,2023-12-11 06:19:56.879375872,MoneyControl,Pharma,Negative,Bearish
MSCI rebalancing: India's weight adjusted to 19.7%; 14 stocks added/removed,2023-12-11 11:35:22.264452888,Business Standard,Auto,Neutral,Neutral
SEBI probes Nykaa for insider trading; shares locked in lower circuit,2023-12-11 16:50:47.649529904,BloombergQuint,Telecom,Negative,Bearish
GST collections cross ₹4913 Cr for Octth consecutive month,2023-12-11 22:06:13.034606920,Reuters India,Energy,Positive,Bullish
BFSI sector FDI inflows at 3795 million USD in April-Mar FY22,2023-12-12 03:21:38.419683936,Business Standard,BFSI,Neutral,Neutral
"India GDP growth accelerates to 27.6% in Q3, ahead of IMF projections",2023-12-12 08:37:03.804760952,Business Standard,Energy,Positive,Bullish
"Yes Bank Q4 net profit surges 39.7%, beats Bloomberg analyst estimates",2023-12-12 13:52:29.189837968,Reuters India,Auto,Positive,Bullish
NSE updates margin framework for equity derivatives from Aug onwards,2023-12-12 19:07:54.574914984,Business Standard,IT Services,Neutral,Neutral
Energy sector faces GST scrutiny; ₹4313 Cr ITC claims flagged by CBIC,2023-12-13 00:23:19.959992000,Mint,Energy,Negative,Bearish
India current account deficit widens to 42.0% of GDP in Q2 FY22,2023-12-13 05:38:45.345069008,Business Standard,Auto,Negative,Bearish
Rupee depreciates to historic low of ₹84.41 on trade deficit widening,2023-12-13 10:54:10.730146024,Mint,IT Services,Negative,Bearish
RBI releases draft guidelines on digital lending regulations for public comment,2023-12-13 16:09:36.115223040,Financial Express,BFSI,Neutral,Neutral
"RBI keeps repo rate unchanged, signals accommodative stance for Q1 FY24",2023-12-13 21:25:01.500300056,Mint,Energy,Positive,Bullish
SEBI board meets to review derivative market norms for Q2 FY24,2023-12-14 02:40:26.885377072,Mint,Energy,Neutral,Neutral
SEBI probes Wipro for insider trading; shares locked in lower circuit,2023-12-14 07:55:52.270454088,CNBC TV18,Auto,Negative,Bearish
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2023-12-14 13:11:17.655531104,Reuters India,Auto,Positive,Bullish
India WPI inflation prints at 7.1% for Feb; IIP data due next week,2023-12-14 18:26:43.040608120,Reuters India,BFSI,Neutral,Neutral
NCLAT hears ITC insolvency appeal; next hearing scheduled for Jun,2023-12-14 23:42:08.425685136,BloombergQuint,Pharma,Neutral,Neutral
FII outflows drag Sensex 690 points lower; rupee slips to 85.06 per USD,2023-12-15 04:57:33.810762152,BloombergQuint,Real Estate,Negative,Bearish
IDFC First Bank announces rights issue at ₹419 per share; record date set,2023-12-15 10:12:59.195839168,CNBC TV18,BFSI,Neutral,Neutral
Real Estate sector EBITDA margins expand QoQ amid easing input cost pressures,2023-12-15 15:28:24.580916184,Economic Times,Real Estate,Positive,Bullish
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2023-12-15 20:43:49.965993200,Reuters India,Metals & Mining,Positive,Bullish
Yes Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-12-16 01:59:15.351070208,MoneyControl,Energy,Positive,Bullish
"Nifty 50 hits record 1159 as broad-based rally lifts mid-cap, small-cap indices",2023-12-16 07:14:40.736147224,Business Standard,BFSI,Positive,Bullish
India current account deficit widens to 9.4% of GDP in Q4 FY23,2023-12-16 12:30:06.121224240,CNBC TV18,IT Services,Negative,Bearish
Credit card defaults surge 29.8% YoY; RBI flags retail lending risks,2023-12-16 17:45:31.506301256,CNBC TV18,Auto,Negative,Bearish
Yes Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-12-16 23:00:56.891378272,Economic Times,Energy,Positive,Bullish
Credit card defaults surge 40.0% YoY; RBI flags retail lending risks,2023-12-17 04:16:22.276455288,BloombergQuint,Metals & Mining,Negative,Bearish
Punjab National Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-12-17 09:31:47.661532304,BloombergQuint,Real Estate,Positive,Bullish
SEBI board meets to review derivative market norms for Q4 FY24,2023-12-17 14:47:13.046609320,Mint,Metals & Mining,Neutral,Neutral
RBI monetary policy committee holds repo rate at 7.31%; next review in Nov,2023-12-17 20:02:38.431686336,CNBC TV18,Telecom,Neutral,Neutral
India WPI inflation prints at 27.6% for Dec; IIP data due next week,2023-12-18 01:18:03.816763352,Financial Express,Real Estate,Neutral,Neutral
NCLAT hears Infosys insolvency appeal; next hearing scheduled for Jan,2023-12-18 06:33:29.201840368,MoneyControl,Infrastructure,Neutral,Neutral
SEBI probes TCS for insider trading; shares locked in lower circuit,2023-12-18 11:48:54.586917384,CNBC TV18,Energy,Negative,Bearish
"Nifty 50 hits record 259 as broad-based rally lifts mid-cap, small-cap indices",2023-12-18 17:04:19.971994400,MoneyControl,Pharma,Positive,Bullish
Bajaj Finance announces ₹3321 Cr CAPEX for pan-India digital infrastructure rollout,2023-12-18 22:19:45.357071408,Business Standard,Metals & Mining,Positive,Bullish
GST collections cross ₹500 Cr for Junth consecutive month,2023-12-19 03:35:10.742148424,Business Standard,Pharma,Positive,Bullish
Metals & Mining sector FDI inflows at 717 million USD in April-Jul FY24,2023-12-19 08:50:36.127225440,Financial Express,Metals & Mining,Neutral,Neutral
Wipro announces ₹1108 Cr CAPEX for pan-India digital infrastructure rollout,2023-12-19 14:06:01.512302456,Mint,Real Estate,Positive,Bullish
IDFC First Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2023-12-19 19:21:26.897379472,BloombergQuint,Telecom,Positive,Bullish
NSE updates margin framework for equity derivatives from Feb onwards,2023-12-20 00:36:52.282456488,MoneyControl,Telecom,Neutral,Neutral
RBI hikes repo rate by 50 bps amid persistent energy inflation concerns,2023-12-20 05:52:17.667533504,Financial Express,Metals & Mining,Negative,Bearish
Nykaa profit warning: EBITDA margins to decline 20.2% on high input costs,2023-12-20 11:07:43.052610520,Business Standard,Infrastructure,Negative,Bearish
NCLAT hears Adani Enterprises insolvency appeal; next hearing scheduled for Nov,2023-12-20 16:23:08.437687536,Economic Times,BFSI,Neutral,Neutral
"India GDP growth accelerates to 14.1% in Q3, ahead of IMF projections",2023-12-20 21:38:33.822764552,Business Standard,IT Services,Positive,Bullish
Sensex rallies 896 points as FIIs pump ₹2949 Cr into Indian equities,2023-12-21 02:53:59.207841568,Economic Times,Telecom,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2023-12-21 08:09:24.592918584,Financial Express,Pharma,Neutral,Neutral
India WPI inflation prints at 35.1% for Aug; IIP data due next week,2023-12-21 13:24:49.977995600,Business Standard,Pharma,Neutral,Neutral
Delhivery profit warning: EBITDA margins to decline 34.2% on high input costs,2023-12-21 18:40:15.363072616,Mint,Pharma,Negative,Bearish
